"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Naru-1_one-1",NA,"Naru","1_one","kuma; ŋari, ngarri, ngarrigu","kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Naru-1_one-1",NA,"Naru","1_one","kuma; ŋari, ngarri, ngarrigu","ŋari",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Naru-1_one-1",NA,"Naru","1_one","kuma; ŋari, ngarri, ngarrigu","ngarri",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Naru-1_one-1",NA,"Naru","1_one","kuma; ŋari, ngarri, ngarrigu","ngarrigu",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Naru-2_two-1",NA,"Naru","2_two","purlayi, burlai","purlayi",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Naru-2_two-1",NA,"Naru","2_two","purlayi, burlai","burlai",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Naru-3_three-1",NA,"Naru","3_three","marŋawi, manggurri, mar.ngurri","marŋawi",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Naru-3_three-1",NA,"Naru","3_three","marŋawi, manggurri, mar.ngurri","manggurri",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Naru-3_three-1",NA,"Naru","3_three","marŋawi, manggurri, mar.ngurri","mar.ngurri",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Naru-4_four-1",NA,"Naru","4_four","yara-purlayi; purlayi purlayi; jErrabula","yara-purlayi",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Naru-4_four-1",NA,"Naru","4_four","yara-purlayi; purlayi purlayi; jErrabula","purlayi purlayi",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Naru-4_four-1",NA,"Naru","4_four","yara-purlayi; purlayi purlayi; jErrabula","jErrabula",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Naru-5_five-1",NA,"Naru","5_five","yara-purlayi ŋari","yara-purlayi ŋari",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Naru-6_six-1",NA,"Naru","6_six","marru","marru",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","Naru-10_ten-1",NA,"Naru","10_ten","kara purlayi","kara purlayi",NA,NA,"Bowern2012",NA,NA,NA,NA
